AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_PCT10,A_PCT25,AM
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-3021,Insurance Sales Agents,detailed,"19,500",5.9,"110,390",4.2,"39,190","57,910",110.39
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,"61,780",2.3,"173,980",2.5,"54,120","80,640",173.98
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-3041,Travel Agents,detailed,"2,800",7.2,"51,740",3,"36,170","44,790",51.74
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,"83,340",1.9,"95,190",1.1,"45,350","57,680",95.19
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,"8,760",12.4,"132,370",4.7,"50,220","80,080",132.37
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,"70,290",2.9,"85,530",1.3,"37,600","51,320",85.53
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-9011,Demonstrators and Product Promoters,detailed,"2,000",21.7,"49,650",6.7,"32,360","34,840",49.65
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-9012,Models,detailed,420,25.9,"89,260",17.3,"43,700","43,700",89.26
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-9021,Real Estate Brokers,detailed,"2,240",42.9,"146,620",12,"49,280","49,280",146.62
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-9022,Real Estate Sales Agents,detailed,"6,040",35.3,"97,780",5.3,"48,030","62,240",97.78
